ID,Comment,Sentiment
90,Gjithmon keto qe kan kete mendim nuk hecin para ,0/1
91,Ai ka ber gjithcka per kete vend ,1
92,Lufta iranit nuk i frikson shqiptaret. ,1
93,Kto jan shume zhurme per asgje ,0/1
94,Te isha un ne pushtet i kisha zhdukur nje e nga nje keta ,0
95,Me pelqen fakti qe rina ka mendim pozitiv per ndryshimin e vendit ,1
96,Teknologjia perparon me hap te madh keto kohet e fundit ,1
97,More serjozisht e keni ju qe mbeshtesni izraleni po ata duhen zhvarrosur,0
98,Me vjen ta zhduk si vend izraelijn me ate qe u ka ber femijeve te gazes shpirti me keputet,0/1
99,A ska shtet joo ky shtet esht te mbushi xhepat e tij. ,0
100,Bota me rrota po he ,0
101,Ato duhen monitoruar ne cdo sekond ,0/1
102,Rregulla strikte qe mos te hahet haku askujt ,1
103,Do ishte bukur sikur te ndertonin kende lojrash qe femijet te luajne ,0/1
104,Gjithe ky vend mos te ket nje park ,0/1
105,Mendoj e mira do ishte te mos kishte shum makina sa nga kjo na eshte krijuar nje smog i papare ,0/1
106,Jemi duke u smurur nga mushkrit prej ksaj ,0
107,Do preferoja tu ndalonte me ligj cigarja se spo ka kontroll me se kush e min a i ri a i vjeter apo femije ,0
108,"	Shumë mirë që po investohet në turizëm këtë vit në Shqipëri, duket që vera do jetë plot",1
109,	E bukur të shohësh që disa vende po fokusohen më shumë te energjia e rinovueshme ,1
110,"Çmimet janë rritur pa kontroll, s’po përballohet më jeta",0
111,	Do shohim si do shkojë sezoni turistik këtë vit,0/1
112,"Shqipëria po bëhet gjithnjë e më e njohur për turistët, kjo është super për ekonomin",1
113,"Teknologjia po na e lehtëson jetën çdo ditë, s’ka diskutim",1
114,"	Më në fund disa rrugë po rregullohen si duhet, ishte shumë e nevojshme",1
115,"Situata ekonomike duket e komplikuar, duhet parë më gjatë",0/1
116,"Shumë zhurmë për zhvillim, por realiteti është ndryshe",0
117,"Politika gjithmonë e njëjta histori, asgjë s’ndryshon",0
118,"Ka disa përmirësime, por edhe shumë probleme",0/1
119,Nuk është e lehtë të gjykohet situata aktuale,0/1
120,"Disa gjëra po ndryshojnë, disa jo",0/1
121,"Ka shumë të rinj që po bëjnë gjëra të bukura, jo çdo gjë është negative",1
122,Shumë bukur që po flitet më shumë për shëndetin mendor këto kohë ,1
123,Varet shumë nga këndvështrimi,0/1
124,Ka zhvillime interesante kohët e fundit,0/1
125,Nuk di çfarë të mendoj për këtë situatë ,0/1
126,"Bota ka probleme, por ka edhe shumë njerëz që po punojnë për zgjidhje",1
127,"Bota ka probleme, por ka edhe shumë njerëz që po punojnë për zgjidhje",1
128,"Shqipëria po përmirësohet në disa fusha, edhe pse ngadalë",1
129,Më pëlqen që po zhvillohet më shumë teknologjia edhe te ne,1
130,Ka anë pozitive dhe negative si gjithmonë,0/1
131,"Të rinjtë po largohen çdo ditë nga Shqipëria, kjo është problem serioz",0
132,"Inflacioni po na merr frymën, çdo gjë është bërë shumë shtrenjtë",0
133,Duhet më shumë kohë për të parë rezultatet,0/1
134,"Disa reforma po japin rezultat, edhe pse duan kohë",1
135,Situata globale është e ndërlikuar,0/1
136,Më në fund disa shërbime po bëhen më të digjitalizuara,1
137,"	Ka shumë shqiptarë që po arrijnë sukses jashtë, krenari ",1
138,Ka shumë faktorë që ndikojnë,0/1
139,"Shqipëria po zhvillohet, por me ritme të ndryshme",0/1
140,"Ka shumë mundësi për ata që duan të punojnë, sidomos online",1
141,"Jeta është bërë shumë e shtrenjtë, s’po përballohet më fare",0
142,"Shumë premtime, pak punë reale",0
143,Bota po bëhet gjithnjë e më e pasigurt,0
144,Nuk është gjithçka bardh e zi,0/1
145,Ka shumë diskutime për këto tema,0/1
146,"Bota po përparon shumë në mjekësi, kjo është shumë pozitive",1
147,Duhet parë si do ndikojë në të ardhmen,0/1
148,Nuk është e qartë ende çfarë do ndodhë,0/1
149,Më pëlqen që njerëzit po informohen më shumë,1
150,Ka më shumë iniciativa sociale kohët e fundit,1
151,"Shqipëria ka potencial shumë të madh, vetëm duhet punë",1
152,"Konfliktet në botë nuk po ndalen, vetëm po shtohen",0
153,Ka shumë opinione të ndryshme,0/1
154,Duhet analizuar më thellë,0/1
155,Nuk ka stabilitet ekonomik askund,0
156,Po shohim më shumë evente dhe aktivitete për të rinjtë,1
157,Rrjetet sociale po ndihmojnë në ndërgjegjësim,1
158,Ka më shumë bashkëpunime ndërkombëtare,1
159,"Shqipëria ka shumë potencial, por nuk po shfrytëzohet",0
160,Shëndetësia lë për të dëshiruar akoma,0
161,Situata ndryshon shpesh,0/1
162,Arsimi ka shumë probleme që nuk po zgjidhen,0
163,Ka shumë informacion që qarkullon,0/1
164,Nuk mund të jap një mendim të prerë,0/1
165,Ndotja po rritet dhe askush s’po merret seriozisht me këtë,0
166,"Çdo ditë lajme negative, s’ka më asnjë motivim",0
167,Është një çështje komplekse,0/1
168,"	Po bëhen ndryshime, edhe pse jo perfekte",1
169,Gjithmonë ka shpresë për më mirë,1
170,Duhet më shumë transparencë dhe informacion,0/1
171,Mbetet për t’u parë,0/1
172,"Më pëlqen që po bëhen më shumë evente dhe aktivitete, ka më shumë jetë",1
173,Papunësia është akoma problem i madh,0
174,"Interneti na ka hapur shumë mundësi, sidomos për ne të rinjtë",1
175,Teknologjia po na bën më të varur,0
176,Ka shumë padrejtësi në shoqëri,0
177,"Këtë vit Shqipëria është plot me turistë, duket që po ecim mirë në këtë drejtim",1
178,Po shoh më shumë biznese të vogla që po ecin mirë ,1
179,"Turizmi duket mirë, por duhet parë si do shkojë në vazhdim",0/1
180,Gjithçka po bëhet më e vështirë për njerëzit e thjeshtë,0
181,Nuk ka transparencë në shumë gjëra,0
182,"Çdo ditë lajme negative, s’di ça të lexosh më",0
183,Bota po shkon drejt një situate të paqartë,0
184,"Edhe pse ka vështirësi, ka njerëz që po ia dalin shumë mirë",1
185,Ekonomia nuk është stabile,0
186,Ka më shumë fokus te startup-et kohët e fundit,1
187,"Shqipëria po promovohet shumë jashtë, kjo është super",1
188,Më në fund disa qytete po duken më të pastra,1
189,Duhet parë në plan afatgjatë,0/1
190,Ka shumë opinione të ndryshme,0/1
191,Çdo gjë është bërë shumë e kushtueshme,0
192,Problemet vetëm po shtohen,0
193,Ka më shumë mundësi për freelancing,1
194,Më pëlqen që njerëzit po flasin më hapur për problemet,1
195,S’ka më besim te institucionet,0
196,Stafi ishte i pasjellshëm dhe i pakujdesshëm.,0
197,Shumë i kënaqur me porosinë time.,1
198,"Siç duket, drejtimi i çështjes ishte skandaloz.",0
199,"Nga ajo çfarë pashë, kthimi i produktit u bë pa asnjë problem.",1
200,Gazetaria e keqe dëmton shoqërinë.,0
201,"Nga përvoja ime, kompania nuk mori asnjë masë korrektuese.",0
202,"Shërbimi ishte fantastik, do të kthehem përsëri!",1
203,Kjo kompani meriton gjithë lavdërimet.,1
204,"Siç duket, festivali solli gëzim për të gjithë.",1
205,Ekspozita ishte shumë edukuese.,1
206,Çështja është komplekse dhe kërkon analizë të mëtejshme.,0/1
207,"Kohët e fundit, çështja është nën shqyrtim dhe do të vendoset.",0/1
208,Situata nuk ka ndryshuar ndjeshëm muajt e fundit.,0/1
209,Gazetari ka bërë punë të shkëlqyer.,1
210,Ky lajm më bëri të ndihem mirë.,1
211,Opinionet e njerëzve ndahen rreth kësaj çështjeje.,0/1
212,"Përvojë shumë pozitive, do të kthehem.",1
213,Mësimi ishte shumë frytdhënës.,1
214,Paketa ishte e dëmtuar kur arriti.,0
215,"Siç duket, kjo nismë është e mrekullueshme për qytetin tonë.",1
216,Ndihma nga komuniteti ishte e mrekullueshme.,1
217,Dorëzimi ishte në kohë por paketa nuk ishte ideale.,0/1
218,Ndërtesa e re është e bukur dhe funksionale.,1
219,"Sipas raporteve, ndërtesa e re është e bukur dhe funksionale.",1
220,"Javën e kaluar, përvojë shumë pozitive, do të kthehem.",1
221,Restoranti ka atmosferë shumë të këndshme.,1
222,Produkti ishte i falsifikuar dhe i rrezikshëm.,0
223,Mund të ketë prodhime që i pershtateshin me mire nevojes.,0/1
224,Produkti arriti saktësisht siç u përshkrua.,1
225,E bleva dhe nuk pendohem aspak.,1
226,Shërbimi i klientit nuk u përgjigj fare.,0
227,Punonjësit nuk janë të trajnuar mirë.,0
228,Produkti ka disa aspekte pozitive dhe negative.,0/1
229,Restoranti ka atmosferë shumë të këndshme.,1
230,"Siç duket, aktiviteti ishte i organizuar keq.",0
231,"Shërbimi ishte fantastik, do të kthehem përsëri!",1
232,Ngjarjet janë zhvilluar normalisht pa incidente.,0/1
233,Asnjëherë nuk do ta blej sërish.,0
234,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
235,"Duket se, gazetaria e keqe dëmton shoqërinë.",0
236,Ushqimi ishte i shijshëm dhe i freskët.,1
237,"Vitin e kaluar, informacioni i dhënë ishte i pasaktë.",0
238,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
239,"Sipas raporteve, faqja e internetit është e lehtë për t'u përdorur.",1
240,Komentët e qytetarëve janë të ndryshme.,0/1
241,Aplikacioni është intuitiv dhe i shpejtë.,1
242,Ushqimi ishte i shijshëm dhe i freskët.,1
243,Kjo situatë është jashtëzakonisht e rëndë.,0
244,Gazetaria e keqe dëmton shoqërinë.,0
245,Mësimi ishte shumë frytdhënës.,1
246,"Dje, problemi nuk u zgjidh as pas javësh.",0
247,Ky lajm më bëri të ndihem mirë.,1
248,"Sot, shërbimi ndaj klientit ishte i jashtëzakonshëm.",1
249,Kam blerë produktin dhe po e vlerësoj akoma.,0/1
250,"Javën e kaluar, dizajni është elegant dhe modern.",1
251,"Sipas raporteve, pritja ishte e gjatë dhe e padurueshme.",0
252,"Mendoj se, ky vendim ka efekte pozitive dhe negative.",0/1
253,Humbja e parave ishte e pafalshme.,0
254,Dorëzimi ishte në kohë por paketa nuk ishte ideale.,0/1
255,"Besoj se, cilësia korrespondon me çmimin e paguar.",0/1
256,"Këtë muaj, cilësia tejkalon çmimin e paguar.",1
257,Faqja e internetit kishte shumë probleme teknike.,0
258,Kjo nismë është e mrekullueshme për qytetin tonë.,1
259,"Nga ajo çfarë pashë, ky produkt ka ndryshuar jetën time përditë.",1
260,"Stafi ishte normal, as miqësor as i ftohtë.",0/1
261,Lajmi raporton ngjarjen pa koment.,0/1
262,Produkti ishte i falsifikuar dhe i rrezikshëm.,0
263,"Shërbimi ishte fantastik, do të kthehem përsëri!",1
264,"Përvojë shumë pozitive, do të kthehem.",1
265,"Kohët e fundit, informacioni i dhënë ishte i pasaktë.",0
266,Shërbimi ndaj klientit ishte i jashtëzakonshëm.,1
267,"Nga përvoja ime, infrastruktura është në gjendje të mjerueshme.",0
268,"Nga ajo çfarë pashë, vendimi solli pasoja negative për të gjithë.",0
269,"Dje, artikulli ishte i shkruar mirë dhe qartë.",1
270,Rezultatet ishin shumë nën pritshmëritë.,0
271,Ka argumente nga të dyja anët e çështjes.,0/1
272,Do të kërkoj rimbursim për këtë produkt.,0
273,Situata po përkeqësohet dhe nuk ka zgjidhje.,0
274,"Siç duket, ndërtesa e re është e bukur dhe funksionale.",1
275,Progresi i arritur është vërtet i jashtëzakonshëm.,1
276,"Nga përvoja ime, kam blerë produktin dhe po e vlerësoj akoma.",0/1
277,"Këtë muaj, cilësia korrespondon me çmimin e paguar.",0/1
278,Stafi nuk dinte asgjë rreth produktit.,0
279,Rezultatet janë të përziera dhe varen nga perspektiva.,0/1
280,Kuzhinieri ka talent të jashtëzakonshëm.,1
281,"Nga ajo çfarë pashë, vendimi solli pasoja negative për të gjithë.",0
282,Cilësia tejkalon çmimin e paguar.,1
283,Jam i mahnitur me shpejtësinë e dorëzimit.,1
284,Nuk do ta rekomandoj askujt këtë vend.,0
285,"Mendoj se, aktiviteti ishte i organizuar keq.",0
286,Ndryshimet janë graduale dhe jo dramatike.,0/1
287,"Siç duket, dorëzimi ishte në kohë por paketa nuk ishte ideale.",0/1
288,"Duket se, çmimi është i pranueshëm por mund të ishte më i mirë.",0/1
289,"Sipas raporteve, bashkëpunimi ishte shumë produktiv.",1
290,Humbja e parave ishte e pafalshme.,0
291,Materiali është i cilësisë së lartë.,1
292,Zhvillimet janë nën monitorim të vazhdueshëm.,0/1
293,Çmimi është shumë i lartë për cilësinë.,0
294,Çmimi është i pranueshëm por mund të ishte më i mirë.,0/1
295,Kjo nismë është e mrekullueshme për qytetin tonë.,1
296,Shërbimi tejkaloi të gjitha pritshmëritë e mia.,1
297,Rezultatet ishin shumë nën pritshmëritë.,0
298,Situata është e ndërlikuar dhe ka shumë aspekte.,0/1
299,Koncerti ishte i mrekullueshëm.,1
300,Gjendja po përkeqësohet dita-ditës.,0
301,Cilësia ishte shumë nën pritjet e mia.,0
302,"Sipas raporteve, aplikacioni është intuitiv dhe i shpejtë.",1
303,"Mendoj se, ky lajm më bëri të ndihem mirë.",1
304,Koncerti ishte i mrekullueshëm.,1
305,Suksesi i tyre është i merituar plotësisht.,1
306,Ky institucion ka humbur çdo kredibilitet.,0
307,"Kohët e fundit, bashkëpunimi ishte shumë produktiv.",1
308,Produkti është i bukur dhe funksional.,1
309,Skandali ka dëmtuar besimin e publikut.,0
310,Garancia nuk u respektua fare.,0
311,Jam shumë i kënaqur me blerjen time.,1
312,Restoranti ka atmosferë shumë të këndshme.,1
313,Ky vendim ka efekte pozitive dhe negative.,0/1
314,Koncerti ishte i mrekullueshëm.,1
315,Problemi nuk u zgjidh as pas javësh.,0
316,Puna e tyre ka lënë gjurmë pozitive.,1
317,Ky vendim është i drejtë dhe i mençur.,1
318,Trajnimi i ndihmoi shumë punonjësit.,1
319,Situata nuk ka ndryshuar ndjeshëm muajt e fundit.,0/1
320,Shërbimi ishte shumë i dobët dhe i pakujdesshëm.,0
321,Ngjarja ishte e organizuar shumë mirë.,1
322,Kjo situatë është jashtëzakonisht e rëndë.,0
323,Artikulli kishte shumë gabime faktike.,0
324,"Duket se, koncerti ishte i mrekullueshëm.",1
325,"Këtë muaj, puna e tyre ka lënë gjurmë pozitive.",1
326,"Sipas raporteve, jam shumë i kënaqur me blerjen time.",1
327,Paketa ishte e dëmtuar kur arriti.,0
328,"Besoj se, ka argumente nga të dyja anët e çështjes.",0/1
329,"Mendoj se, jam absolutisht i entuziazmuar me rezultatin.",1
330,Cilësia ishte shumë nën pritjet e mia.,0
331,Ky vend është i mrekullueshëm për pushime.,1
332,Problemi nuk u zgjidh as pas javësh.,0
333,Raporti përfshin të dhëna nga burime të ndryshme.,0/1
334,Kjo praktikë është e papranueshme.,0
335,Asnjëherë nuk do ta blej sërish.,0
336,Pritet një vendim zyrtar brenda javëve.,0/1
337,Pritja ishte e gjatë dhe e padurueshme.,0
338,Vendimi ishte i gabuar dhe i dëmshëm.,0
339,Rezultatet ishin shumë nën pritshmëritë.,0
340,"Vitin e kaluar, kjo politikë do të ndihmojë shumë njerëz.",1
341,"Javën e kaluar, kuzhinieri ka talent të jashtëzakonshëm.",1
342,Materiali është i cilësisë së lartë.,1
343,Shërbimi tejkaloi të gjitha pritshmëritë e mia.,1
344,"Siç duket, produkti nuk përputhej me përshkrimin.",0
345,Cilësia e produktit është e shkëlqyer.,1
346,Produkti u prishte brenda javës së parë.,0
347,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
348,Ekspertët kanë mendime të ndryshme mbi temën.,0/1
349,Ky vendim do të dëmtojë shumë njerëz.,0
350,"Vitin e kaluar, dizajni është elegant dhe modern.",1
351,Produkti ishte i falsifikuar dhe i rrezikshëm.,0
352,Mund të ketë prodhime që i pershtateshin me mire nevojes.,0/1
353,Jam i zemëruar me trajtimin që mora.,0
354,Do të kërkoj rimbursim për këtë produkt.,0
355,"Kohët e fundit, shumë i lumtur me zgjedhjen time.",1
356,Reportazhi ishte shumë profesional.,1
357,Trajnimi i ndihmoi shumë punonjësit.,1
358,Ekspertët kanë mendime të ndryshme mbi temën.,0/1
359,Cilësia e produktit është e shkëlqyer.,1
360,"Dje, ekspozita ishte shumë edukuese.",1
361,Çmimi është shumë i lartë për cilësinë.,0
362,Ky vendim ka efekte pozitive dhe negative.,0/1
363,"Mendoj se, rezultatet ishin shumë nën pritshmëritë.",0
364,Reportazhi ishte shumë profesional.,1
365,"Nga përvoja ime, mësimi ishte shumë frytdhënës.",1
366,E bleva dhe do ta vlerësoj me kalimin e kohës.,0/1
367,"Sot, puna e tyre ka lënë gjurmë pozitive.",1
368,Ka argumente nga të dyja anët e çështjes.,0/1
369,Informacioni i disponueshëm është i kufizuar.,0/1
370,"Duket se, kjo nismë është e mrekullueshme për qytetin tonë.",1
371,Ekipi i mbështetjes ishte shumë ndihmues.,1
372,Çmimi është shumë i lartë për cilësinë.,0
373,"Mendoj se, skandali ka dëmtuar imazhin e kompanisë.",0
374,Ekipi tregoi profesionalizëm të lartë.,1
375,Libri është ndër më të mirët që kam lexuar.,1
376,Artikulli jep informacion bazik pa thellim.,0/1
377,Njerëzit po vuajnë nga kjo politikë.,0
378,Shërbimi plotëson kërkesat minimale.,0/1
379,Zhvillimet janë nën monitorim të vazhdueshëm.,0/1
380,"Stafi ishte normal, as miqësor as i ftohtë.",0/1
381,Punonjësit nuk janë të trajnuar mirë.,0
382,"Vitin e kaluar, aktiviteti ishte i organizuar keq.",0
383,Reportazhi ishte shumë profesional.,1
384,Suksesi i tyre është i merituar plotësisht.,1
385,Vendimi ishte i gabuar dhe i dëmshëm.,0
386,"Besoj se, nuk mund të besoj se publikuan diçka të tillë.",0
387,Rezultatet ishin shumë nën pritshmëritë.,0
388,Informacioni i dhënë ishte i pasaktë.,0
389,"Besoj se, ky vendim është i drejtë dhe i mençur.",1
390,Mësimi ishte shumë frytdhënës.,1
391,Humbja e parave ishte e pafalshme.,0
392,Mungonte plotësisht transparenca.,0
393,"Besoj se, projekti ka sjellë ndryshime pozitive.",1
394,Ekipi i mbështetjes ishte shumë ndihmues.,1
395,"Besoj se, situata është e ndërlikuar dhe ka shumë aspekte.",0/1
396,Vendimi solli pasoja negative për të gjithë.,0
397,Ky vendim ka efekte pozitive dhe negative.,0/1
398,"Nga ajo çfarë pashë, progresi i arritur është vërtet i jashtëzakonshëm.",1
399,Jam shumë i kënaqur me blerjen time.,1
400,Stafi nuk dinte asgjë rreth produktit.,0
401,Cilësia ishte shumë nën pritjet e mia.,0
402,Pritja ishte e gjatë dhe e padurueshme.,0
403,Produkti arriti saktësisht siç u përshkrua.,1
404,E bleva dhe do ta vlerësoj me kalimin e kohës.,0/1
405,Paketa ishte e dëmtuar kur arriti.,0
406,"Nga përvoja ime, nuk do ta rekomandoj askujt këtë vend.",0
407,"Stafi ishte normal, as miqësor as i ftohtë.",0/1
408,Ekipi tregoi profesionalizëm të lartë.,1
409,Ky vendim do të dëmtojë shumë njerëz.,0
410,Klienti u trajtua me respekt dhe kujdes.,1
411,Humbja e parave ishte e pafalshme.,0
412,Ishte humbje e parave dhe kohës.,0
413,Reportazhi ishte shumë profesional.,1
414,"Dje, shumë faleminderit për informacionin e vlefshëm.",1
415,Shërbimi tejkaloi të gjitha pritshmëritë e mia.,1
416,"Kohët e fundit, nuk po shihet asnjë zgjidhje afër.",0
417,"Këtë muaj, cilësia ka rënë dramatikisht vitet e fundit.",0
418,Zhvillimet janë nën monitorim të vazhdueshëm.,0/1
419,"Këtë muaj, studimi tregon rezultate të ndryshme.",0/1
420,Njerëzit po vuajnë nga kjo politikë.,0
421,Rekomandoj fuqishëm këtë dyqan.,1
422,Kjo ngjarje ka lënë pasoja të rënda.,0
423,Situata është alarmante dhe shqetësuese.,0
424,Ndryshimet janë graduale dhe jo dramatike.,0/1
425,Çmimi është shumë i lartë për cilësinë.,0
426,"Këtë muaj, ky problem nuk është adresuar fare.",0
427,Ka argumente nga të dyja anët e çështjes.,0/1
428,Rezultatet janë vërtet mbresëlënëse.,1
429,Informacioni ishte i vjetëruar dhe i rremë.,0
430,"Nga përvoja ime, vendimi ishte i gabuar dhe i dëmshëm.",0
431,Informacioni i dhënë ishte i pasaktë.,0
432,Nuk e meritoja këtë shërbim të keq.,0
433,Lajmi ishte i pasaktë dhe mashtrues.,0
434,Kjo ngjarje ka lënë pasoja të rënda.,0
435,Cilësia e produktit ishte shumë e ulët.,0
436,"Duket se, ngjarja ishte e organizuar shumë mirë.",1
437,Dëmtimi i imazhit është i rëndë.,0
438,Kuzhinieri ka talent të jashtëzakonshëm.,1
439,Ky vend është i mrekullueshëm për pushime.,1
440,Kjo praktikë është e papranueshme.,0
441,Produkti është saktësisht siç duket në foto.,1
442,"Mendoj se, informacioni i dhënë ishte i pasaktë.",0
443,Rezultatet ishin shumë nën pritshmëritë.,0
444,Stafi ishte shumë miqësor dhe profesional.,1
445,Jam i mahnitur me shpejtësinë e dorëzimit.,1
446,Materiali është i cilësisë së lartë.,1
447,Dëmtimi i imazhit është i rëndë.,0
448,Faqja kishte shumë gabime teknike.,0
449,Shërbimi i klientit u përgjigj menjëherë.,1
450,Ndryshimet janë graduale dhe jo dramatike.,0/1
451,Do ta rekomandoj tek të gjithë miqtë e mi.,1
452,Kompania nuk mori asnjë masë korrektuese.,0
453,Njerëzit po vuajnë nga kjo politikë.,0
454,Progresi i arritur është vërtet i jashtëzakonshëm.,1
455,Informacioni i dhënë ishte i pasaktë.,0
456,Faqja kishte shumë gabime teknike.,0
457,Drejtimi i çështjes ishte skandaloz.,0
458,Ky vendim ka efekte pozitive dhe negative.,0/1
